month,year,id_estacao,dicofre,concelho,id_direcc_vento,min_intensidade_vento,max_intensidade_vento,avg_intensidade_vento
01,2019,800,911,Sabugal,6.0,0.9,7.7,4.16
01,2019,800,911,Sabugal,7.0,0.5,7.9,2.91
01,2019,800,911,Sabugal,8.0,0.1,9.6,4.98
01,2019,666,913,Trancoso,1.0,0.4,5.3,2.77
01,2019,666,913,Trancoso,2.0,0.7,7.0,3.74
01,2019,666,913,Trancoso,3.0,0.6,1.3,1.05
01,2019,666,913,Trancoso,4.0,0.8,2.2,1.5
01,2019,666,913,Trancoso,5.0,0.9,2.8,2.05
01,2019,666,913,Trancoso,6.0,0.6,10.9,5.14
01,2019,666,913,Trancoso,7.0,1.2,10.8,4.93
01,2019,666,913,Trancoso,8.0,0.4,10.1,4.5
01,2019,726,1001,Alcobaça,1.0,0.0,4.4,1.02
01,2019,726,1001,Alcobaça,2.0,0.1,1.4,0.63
01,2019,726,1001,Alcobaça,3.0,0.9,0.9,0.9
01,2019,726,1001,Alcobaça,4.0,1.2,3.9,2.58
01,2019,726,1001,Alcobaça,5.0,3.9,4.5,4.23
01,2019,726,1001,Alcobaça,6.0,0.4,5.2,1.87
01,2019,726,1001,Alcobaça,7.0,0.2,5.2,2.15
01,2019,726,1001,Alcobaça,8.0,0.1,4.9,1.34
01,2019,716,1003,Ansião,1.0,0.2,9.4,2.73
01,2019,716,1003,Ansião,2.0,0.6,4.6,2.49
01,2019,716,1003,Ansião,3.0,0.3,4.3,2.45
01,2019,716,1003,Ansião,4.0,0.6,3.8,2.34
01,2019,716,1003,Ansião,5.0,1.1,3.1,2.0
01,2019,716,1003,Ansião,6.0,0.4,7.7,3.25
01,2019,716,1003,Ansião,7.0,0.5,8.1,4.93
01,2019,716,1003,Ansião,8.0,0.1,8.4,3.94
01,2019,718,1009,Leiria,1.0,0.5,6.6,3.12
01,2019,718,1009,Leiria,2.0,0.4,2.8,1.38
01,2019,718,1009,Leiria,3.0,0.4,3.0,1.19
01,2019,718,1009,Leiria,4.0,0.5,3.5,1.11
01,2019,718,1009,Leiria,5.0,0.4,3.2,1.16
01,2019,718,1009,Leiria,6.0,0.4,5.5,2.28
01,2019,718,1009,Leiria,7.0,0.3,4.6,2.49
01,2019,718,1009,Leiria,8.0,0.5,7.0,2.93
01,2019,721,1010,Marinha Grande,1.0,0.4,13.5,6.86
01,2019,721,1010,Marinha Grande,2.0,0.5,5.6,3.04
01,2019,721,1010,Marinha Grande,3.0,0.9,5.5,3.25
01,2019,721,1010,Marinha Grande,4.0,0.6,4.0,2.28
01,2019,721,1010,Marinha Grande,5.0,0.4,5.7,2.71
01,2019,721,1010,Marinha Grande,6.0,0.8,13.8,6.46
01,2019,721,1010,Marinha Grande,7.0,0.6,11.2,6.54
01,2019,721,1010,Marinha Grande,8.0,0.8,10.8,5.25
01,2019,579,1106,Lisboa,1.0,0.0,7.1,3.5
01,2019,579,1106,Lisboa,2.0,0.1,5.8,2.46
01,2019,579,1106,Lisboa,3.0,0.0,4.1,1.39
01,2019,579,1106,Lisboa,4.0,0.1,1.2,0.46
01,2019,579,1106,Lisboa,5.0,0.1,1.0,0.6
01,2019,579,1106,Lisboa,6.0,0.0,8.9,4.08
01,2019,579,1106,Lisboa,7.0,0.0,8.5,4.55
01,2019,579,1106,Lisboa,8.0,0.2,6.8,2.96
01,2019,750,1111,Sintra,1.0,0.7,15.4,5.83
01,2019,750,1111,Sintra,2.0,1.0,7.7,4.59
01,2019,750,1111,Sintra,3.0,0.9,11.8,5.58
01,2019,750,1111,Sintra,4.0,1.2,11.4,3.55
01,2019,750,1111,Sintra,5.0,0.7,7.0,2.42
01,2019,750,1111,Sintra,6.0,1.1,10.5,5.81
01,2019,750,1111,Sintra,7.0,0.9,12.1,6.68
01,2019,750,1111,Sintra,8.0,0.6,14.5,6.28
01,2019,746,1113,Torres Vedras,1.0,0.0,9.4,3.47
01,2019,739,1113,Torres Vedras,2.0,0.1,3.9,1.56
01,2019,739,1113,Torres Vedras,3.0,0.2,5.1,2.17
01,2019,746,1113,Torres Vedras,4.0,0.4,4.9,1.8
01,2019,746,1113,Torres Vedras,5.0,0.2,5.4,1.41
01,2019,739,1113,Torres Vedras,6.0,0.3,10.0,4.47
01,2019,739,1113,Torres Vedras,7.0,0.2,9.5,4.61
01,2019,739,1113,Torres Vedras,8.0,0.1,10.2,4.33
01,2019,824,1203,Avis,1.0,0.0,4.1,0.58
01,2019,824,1203,Avis,2.0,0.1,2.7,0.86
01,2019,824,1203,Avis,3.0,0.3,3.7,1.45
01,2019,824,1203,Avis,4.0,0.4,2.2,1.18
01,2019,824,1203,Avis,5.0,0.7,1.4,1.04
01,2019,824,1203,Avis,6.0,0.5,5.5,2.27
01,2019,824,1203,Avis,7.0,0.3,4.1,2.27
01,2019,824,1203,Avis,8.0,0.1,7.1,2.9
01,2019,835,1207,Elvas,1.0,0.0,5.1,1.92
01,2019,835,1207,Elvas,2.0,0.0,3.3,1.62
01,2019,835,1207,Elvas,3.0,0.0,3.2,0.93
01,2019,835,1207,Elvas,4.0,0.0,1.7,0.63
01,2019,835,1207,Elvas,5.0,0.0,4.5,1.52
01,2019,835,1207,Elvas,6.0,0.0,6.1,3.85
01,2019,835,1207,Elvas,7.0,0.0,7.3,3.27
01,2019,835,1207,Elvas,8.0,0.0,7.8,2.39
01,2019,571,1214,Portalegre,1.0,0.7,5.6,2.84
01,2019,571,1214,Portalegre,2.0,0.6,9.4,4.62
01,2019,571,1214,Portalegre,3.0,0.6,5.7,2.62
01,2019,571,1214,Portalegre,4.0,0.3,3.5,1.89
01,2019,571,1214,Portalegre,5.0,0.3,1.6,0.94
01,2019,571,1214,Portalegre,6.0,0.4,7.7,2.39
01,2019,571,1214,Portalegre,7.0,0.3,8.2,3.09
01,2019,571,1214,Portalegre,8.0,0.1,10.6,5.12
01,2019,545,1308,Matosinhos,1.0,0.6,6.2,3.17
01,2019,545,1308,Matosinhos,2.0,1.1,4.5,2.47
01,2019,545,1308,Matosinhos,3.0,0.4,7.9,3.57
01,2019,545,1308,Matosinhos,4.0,0.7,3.7,2.44
01,2019,545,1308,Matosinhos,5.0,0.7,6.9,3.5
01,2019,545,1308,Matosinhos,6.0,1.7,8.4,4.85
01,2019,545,1308,Matosinhos,7.0,1.6,6.1,3.61
01,2019,545,1308,Matosinhos,8.0,1.0,11.6,5.95
01,2019,657,1311,Penafiel,1.0,0.3,3.4,1.46
01,2019,657,1311,Penafiel,2.0,0.3,5.2,1.63
01,2019,657,1311,Penafiel,3.0,0.5,7.5,3.1
01,2019,657,1311,Penafiel,4.0,0.3,7.3,2.16
01,2019,657,1311,Penafiel,5.0,0.3,3.4,1.58
01,2019,657,1311,Penafiel,6.0,0.3,4.0,1.39
01,2019,657,1311,Penafiel,7.0,0.4,2.5,0.95
01,2019,657,1311,Penafiel,8.0,0.3,4.4,1.55
01,2019,812,1401,Abrantes,1.0,0.0,7.0,0.76
01,2019,812,1401,Abrantes,2.0,0.1,4.6,1.7
01,2019,812,1401,Abrantes,3.0,0.0,5.6,1.84
01,2019,812,1401,Abrantes,4.0,0.0,1.9,0.5
01,2019,812,1401,Abrantes,5.0,0.0,2.8,0.49
01,2019,812,1401,Abrantes,6.0,0.0,5.5,1.27
01,2019,812,1401,Abrantes,7.0,0.0,5.8,2.23
